station,sensor,missing_rate
가곡고지,PIT_102,0.0
가곡고지,전압,0.0
가곡고지,전류2,0.0
가곡고지,전류1,0.0
가곡고지,PIT_101,0.0
가곡고지,LT_02,0.0
가곡택지,PIT_102,0.0
가곡택지,PIT_101,0.0
가곡택지,FT_102,0.0
가곡택지,FQ_102D,0.0
가곡택지,FQ_102,0.0
가곡택지,침수경보,1.0
가상태그,IDX,0.0
구역유량,적산유량,0.0
구역유량,유속,0.0
구역유량,순시유량,0.0
낙안교촌,배수지수위_HH,1.0
낙안교촌,배수지수위_H,1.0
낙안교촌,배수지수위_L,1.0
낙안교촌,배수지수위_LL,1.0
낙안교촌,배수지수위,0.0
낙안교촌,PT102,0.0
낙안교촌,PT101,0.0
낙안교촌,INV_RPM,1.0
낙안교촌,INV1_RPM,0.0
낙안교촌,INV2_RPM,0.0
낙안교촌,INV3_RPM,0.0
낙안교촌,INV4_RPM,0.0
낙안용능,PT_102_LO,0.0
낙안용능,PT_102_HI,0.0
낙안용능,주파수,0.0
낙안용능,전압,0.0
낙안용능,전류,0.0
낙안용능,전력량,0.0
낙안용능,PT_102_LO,0.0
낙안용능,PT_102_HI,0.0
낙안용능,PT_102,0.0
낙안용능,PT_101,0.0
낙안용능,LT_01,0.0
낙안용능,INV_HZ,0.0
남제남정,PIT_OUT,0.0
남제남정,PIT_IN,0.0
남제남정,INV,0.0
남제상인제,PIT101_IN,0.0
남제상인제,LT_03,0.0
남제상인제,LT_01,0.0
남제상인제,LT_02,0.0
남제상인제,PIT101_OUT,0.0
남제상인제,INV_HZ,0.0
도사간동,PT_102,0.0
도사간동,PT_101,0.0
매곡매산등,전압,0.0
매곡매산등,전류2,0.0
매곡매산등,전류1,0.0
매곡매산등,PIT_102,0.0
매곡매산등,PIT_101,0.0
매곡매산등,LT_02,0.0
매곡매산등,INV_HZ,0.0
매곡박난봉,PIT_01,0.0
매곡박난봉,INV_HZ,0.0
매곡북정리,전압,0.0
매곡북정리,전류2,0.0
매곡북정리,전류1,0.0
매곡북정리,PIT_102,0.0
매곡북정리,PIT_101,0.0
매곡북정리,LT_02,0.0
매곡북정리,INV_HZ,0.0
배수지,조례_LS103_LO,0.0
배수지,조례_LS103_LL,0.0
배수지,조례_LS103_HI,0.0
배수지,조례_LS103_HH,0.0
배수지,조례_LS103,0.0
배수지,LS103_LO,0.0
배수지,LS103_LL,0.0
배수지,LS103_HI,0.0
배수지,LS103_HH,0.0
배수지,조례_LS105,0.0
배수지,조례_LS104,0.0
배수지,조례_LS103,0.0
배수지,조례_LS102,0.0
배수지,조례_LS101,0.0
배수지,석현_LS101,0.0
배수지,별량_LS102,0.0
배수지,별량_LS101,0.0
배수지,매곡_LS101,0.0
배수지,구룡_LS101,0.0
별량구룡,V101_AU,1.0
별량구룡,LT101,0.0
별량금동,흡입압력,0.0
별량금동,토출압력,0.0
별량금동,금곡_LS102,0.0
별량금동,금곡_LS101,0.0
별량덕정,PIT_102,0.0
별량덕정,PIT_101,0.0
별량덕정,LT_02,0.0
별량덕정,INV_HZ,0.0
별량도홍,PIT_OUT,0.0
별량도홍,PIT_IN,0.0
별량도홍,LT_02,0.0
별량서동,PIT_OUT,0.0
별량서동,PIT_IN,0.0
별량서동,LT_02,0.0
별량송정,PIT_02,0.0
별량송정,PIT_01,0.0
별량송정,INV_HZ,0.0
비룡가압장,LEVEL,0.0
비룡가압장,LEVEL,0.0
비룡가압장,LEVEL,0.0
비룡가압장,V,0.0
비룡가압장,A,0.0
상사구계,주파수,0.0
상사구계,전압,0.0
상사구계,전류,0.0
상사구계,전력량,0.0
상사구계,PIT_OUT,0.0
상사구계,PIT_IN,0.0
상사구계,P3_HZ,0.0
상사구계,P2_HZ,0.0
상사구계,P1_HZ,0.0
상사구계,LT01,1.0
상사구계,유입메인압력값,1.0
상사동백,주파수,0.0
상사동백,전압,0.0
상사동백,전류,0.0
상사동백,전력량,0.0
상사동백,PIT_OUT,0.0
상사동백,PIT_IN,0.0
상사동백,HZ,0.0
상사마륜,PT_101,0.0
상사마륜,주파수,0.0
상사마륜,PT_102,0.0
상사쌍지,주파수,0.0
상사쌍지,전압,0.0
상사쌍지,전류,0.0
상사쌍지,전력량,0.0
상사쌍지,PT_102,0.0
상사쌍지,PT_101,0.0
상사쌍지,LT_01,0.0
상사쌍지,INV_HZ,0.0
상사쌍지,LT_02,1.0
상사연동,PIT101_IN,1.0
상사연동,배수지,1.0
상사연동,전압,1.0
상사연동,전류,1.0
상사연동,PIT101_OUT,1.0
상사연동,INV1_HZ,1.0
상사연동,INV2_HZ,1.0
상사연동,INV3_HZ,1.0
상사응령,PT_102,0.0
상사응령,PT_101,0.0
상사전원,LT101,0.0
상사전원,PT101,0.0
상사전원,PT102,0.0
상사전원,VOLT,0.0
상사전원,AMPARE,0.0
상사전원,배수지수위,0.0
생목가,PT_101,0.0
생목가,LT_101,0.0
생목가,주파수,0.0
생목가,PT_102,0.0
생목가,FT_101,0.0
생목가,FQ_102,0.0
